taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AEH02867|Tahyna_virus	48	AEH02867	Tahyna virus	prototype Bardos 92	1958	Aedes caspius (mosquito)	Slovakia	Europe	California
AEH02868|Tahyna_virus	49	AEH02868	Tahyna virus	XJ0708	2007	Aedes vexans	China	Asia	California
AEH02872|Tahyna_virus	50	AEH02872	Tahyna virus	XJ0710	2007	Aedes vexans	China	Asia	California
AGZ03701|Tahyna_virus	105	AGZ03701	Tahyna virus	29	1963	Aedes vexans	Czechoslovakia	Europe	California
AGZ03702|Tahyna_virus	106	AGZ03702	Tahyna virus	76	1963	Aedes vexans	Czechoslovakia	Europe	California
AGZ03703|Tahyna_virus	107	AGZ03703	Tahyna virus	89	1963	Aedes vexans	Czechoslovakia	Europe	California
AGZ03704|Tahyna_virus	108	AGZ03704	Tahyna virus	94	1963	Aedes cantans	Czechoslovakia	Europe	California
AGZ03705|Tahyna_virus	109	AGZ03705	Tahyna virus	181	1962	Aedes vexans	Czechoslovakia	Europe	California
AGZ03706|Tahyna_virus	110	AGZ03706	Tahyna virus	181/57	1962	NA	Czechoslovakia	Europe	California
AGZ03707|Tahyna_virus	111	AGZ03707	Tahyna virus	236	1958	Aedes vexans	Czechoslovakia	Europe	California
AGZ03708|Tahyna_virus	112	AGZ03708	Tahyna virus	1014	1964	Aedes vexans	Czechoslovakia	Europe	California
